0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:54:22 -0400] "GET /servletlabs-3/ HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:54:22 -0400] "GET /servletlabs-3/ HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:54:22 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:54:23 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:54:25 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:55:18 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:55:19 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:55:29 -0400] "POST /servletlabs-3/search HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:55:49 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:55:51 -0400] "POST /servletlabs-3/search HTTP/1.1" 302 -
