0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:58 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:58 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:29:00 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:29:00 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:29:02 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:29:02 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:06 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:06 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:06 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:06 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:06 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:06 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:07 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:07 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:07 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:07 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:07 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:07 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:07 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:07 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:07 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:07 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:08 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:08 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:08 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:08 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:08 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:08 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:08 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:08 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:08 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:08 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:08 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:09 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:09 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:09 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:09 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:09 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:09 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:09 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:10 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:10 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:10 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:10 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:11 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:11 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:11 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:11 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:11 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:11 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:11 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:11 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:12 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:12 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:12 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:12 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:12 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:12 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:13 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:32:13 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:33:24 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:33:24 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:33:25 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:33:25 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:33:25 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:33:25 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:33:26 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:33:26 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:33:26 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:33:26 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:33:27 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 222
